zona_id,zona,provincia,alum_bec_mat_escolar,alum_bec_comedor,alum_mat_escolar_total,alum_comedor_total,perc_material_m15,perc_comedor_m16,perc_bec_mat_escolar_pub,perc_bec_mat_escolar_priv,dif_perc_bec_mat_escolar_dif,perc_bec_comedor_pub,perc_bec_comedor_priv,dif_perc_bec_comedor,total_alumnado,perc_alum_ext_pub,perc_alum_ext_priv,perc_alum_ext_todos,indice_desigualdad,alum_ext_total,alum_ext_pub,alum_ext_kristau_eskola,alum_ext_partaide,alum_ext_otros_priv,perc_reparto_alum_ext_pub,perc_reparto_alum_ext_priv,municipios_barrios
291,Bidasoa,gipuzkoa,5068,2741,11780,10164,43,27,45,40,5,34,15,19,7350,9.1,4.1,7.2,2.2,530,416,103,,11,78.5,21.5,"Hondarribia, Irun"
311,Bermeo,bizkaia,1048,736,2527,2433,41,30,40,43,-3,31,30,1,1772,7.8,7.1,7.4,1.1,131,60,,23,48,45.8,54.2,"Bermeo, Mundaka"
312,Urdaibai,bizkaia,1143,769,3776,3463,30,22,29,32,-3,22,22,0,2412,5.6,12.9,9,0.4,217,71,96,15,35,32.7,67.3,"Arratzu, Busturia, Gautegiz, Gernika, Muxika"
321,Lea-Artibai,bizkaia,1292,628,3843,3379,34,19,35,31,4,18,20,-2,2415,5.5,9.3,6.8,0.6,165,87,,12,66,52.7,47.3,"Amoroto, Aulesti, Berriatua, Etxebarria, Ispaster, Lekeitio, Markina, Munitibar, Ondarroa"
331,Amorebieta,bizkaia,1178,577,4377,3843,27,15,39,20,19,30,9,21,2724,10.5,1.7,4.2,6.2,115,82,30,1,2,71.3,28.7,Amorebieta
332,Durango,bizkaia,3307,1540,9625,8572,34,18,41,26,15,22,12,10,6052,7.4,4.3,6.1,1.7,369,258,80,25,6,69.9,30.1,"Abadiño, Atxondo, Berriz, Durango, Elorrio, Iurreta, Mallabia, Otxandio, Zaldibar"
333,Ermua,bizkaia,944,344,1798,1847,53,19,54,50,4,20,15,5,1313,7.2,6,6.9,1.2,90,66,,,24,73.3,26.7,Ermua
341,Igorre,bizkaia,598,374,1907,1812,31,21,32,28,4,21,0,21,1184,6.2,,6.2,,73,73,,,,100,0,"Areatza, Artea, Dima, Igorre, Lemoa, Zeanuri, Zeberio"
342,Galdakao,bizkaia,1286,810,3461,3109,37,26,41,20,21,30,10,20,2169,4.1,0.6,3.4,6.7,73,70,,3,,95.9,4.1,Galdakao
351,Arrigorriaga,bizkaia,974,538,2476,2251,39,24,39,42,-3,24,21,3,1626,3.2,4.1,3.4,0.8,55,44,11,,,80,20,"Arrankudiaga, Arrigorriaga, Orduña, Ugao, Zaratamo"
